district_code,district_name,available_beds
15087,"Mansfeld-Südharz, Landkreis",135.4
15088,Saalekreis,84.9
15089,Salzlandkreis,163.5
15090,"Stendal, Landkreis",143.6
15091,"Wittenberg, Landkreis",116.4
16051,"Erfurt, kreisfreie Stadt",124.1
16052,"Gera, kreisfreie Stadt",136.8
16053,"Jena, kreisfreie Stadt",108.4
16054,"Suhl, kreisfreie Stadt",128.4
16055,"Weimar, kreisfreie Stadt",145.5
16056,"Eisenach, kreisfreie Stadt (bis 30.06.2021)",143.1
16061,"Eichsfeld, Landkreis",104.0
16062,"Nordhausen, Landkreis",174.5
16063,Wartburgkreis,104.1
16064,Unstrut-Hainich-Kreis,142.8
16065,Kyffhäuserkreis,124.3
16066,"Schmalkalden-Meiningen, Landkreis",117.6
16067,"Gotha, Landkreis",117.3
16068,"Sömmerda, Landkreis",100.2
16069,"Hildburghausen, Landkreis",150.8
16070,Ilm-Kreis,113.7
16071,"Weimarer Land, Landkreis",108.9
16072,"Sonneberg, Landkreis",131.7
16073,"Saalfeld-Rudolstadt, Landkreis",121.5
16074,Saale-Holzland-Kreis,85.5
16075,Saale-Orla-Kreis,94.0
16076,"Greiz, Landkreis",132.0
16077,"Altenburger Land, Landkreis",140.3
