district_code,district_name,total_population,personnel,personnel_per_1000
06531,"Gießen, Landkreis",268418.0,2504.0,9.33
06532,Lahn-Dill-Kreis,254074.0,3233.0,12.72
06533,"Limburg-Weilburg, Landkreis",173830.0,1749.0,10.06
06534,"Marburg-Biedenkopf, Landkreis",242805.0,2385.0,9.82
06535,Vogelsbergkreis,101163.0,1187.0,11.73
06611,"Kassel, kreisfreie Stadt",197230.0,1689.0,8.56
06631,"Fulda, Landkreis",222283.0,2913.0,13.1
06632,"Hersfeld-Rotenburg, Landkreis",117414.0,1395.0,11.88
06633,"Kassel, Landkreis",231073.0,3029.0,13.11
06634,Schwalm-Eder-Kreis,180071.0,2003.0,11.12
06635,"Waldeck-Frankenberg, Landkreis",155126.0,2380.0,15.34
06636,Werra-Meißner-Kreis,97695.0,1415.0,14.48
07111,"Koblenz, kreisfreie Stadt",113378.0,1479.0,13.04
07131,"Ahrweiler, Landkreis",129353.0,1178.0,9.11
07132,"Altenkirchen (Westerwald), Landkreis",132125.0,1349.0,10.21
07133,"Bad Kreuznach, Landkreis",164748.0,1339.0,8.13
07134,"Birkenfeld, Landkreis",82611.0,874.0,10.58
07135,"Cochem-Zell, Landkreis",61608.0,719.0,11.67
07137,"Mayen-Koblenz, Landkreis",217228.0,2071.0,9.53
07138,"Neuwied, Landkreis",189061.0,1786.0,9.45
07140,Rhein-Hunsrück-Kreis,106705.0,1037.0,9.72
07141,Rhein-Lahn-Kreis,125588.0,1050.0,8.36
07143,Westerwaldkreis,207803.0,2112.0,10.16
07211,"Trier, kreisfreie Stadt",104342.0,1006.0,9.64
07231,"Bernkastel-Wittlich, Landkreis",113187.0,1206.0,10.65
07232,Eifelkreis Bitburg-Prüm,99788.0,863.0,8.65
07233,"Vulkaneifel, Landkreis",59313.0,608.0,10.25
07235,"Trier-Saarburg, Landkreis",148953.0,1547.0,10.39
07311,"Frankenthal (Pfalz), kreisfreie Stadt",48140.0,424.0,8.81
07312,"Kaiserslautern, kreisfreie Stadt",100426.0,821.0,8.18
07313,"Landau in der Pfalz, kreisfreie Stadt",48209.0,343.0,7.11
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",177222.0,1145.0,6.46
07315,"Mainz, kreisfreie Stadt",224684.0,1376.0,6.12
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",52945.0,399.0,7.54
07317,"Pirmasens, kreisfreie Stadt",39761.0,510.0,12.83
07318,"Speyer, kreisfreie Stadt",49564.0,731.0,14.75
07319,"Worms, kreisfreie Stadt",86753.0,759.0,8.75
07320,"Zweibrücken, kreisfreie Stadt",33323.0,337.0,10.11
07331,"Alzey-Worms, Landkreis",131238.0,901.0,6.87
07332,"Bad Dürkheim, Landkreis",134329.0,1062.0,7.91
07333,Donnersbergkreis,74783.0,765.0,10.23
07334,"Germersheim, Landkreis",131383.0,843.0,6.42
