district_code,district_name,total_population,available_beds,beds_per_1000
12071,"Spree-Neiße, Landkreis",109635.0,1535.0,14.0
12072,"Teltow-Fläming, Landkreis",177688.0,1995.0,11.23
12073,"Uckermark, Landkreis",117432.0,1432.0,12.19
13001,"Greifswald, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13002,"Neubrandenburg, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13003,"Rostock, kreisfreie Stadt",205307.0,3127.0,15.23
13004,"Schwerin, kreisfreie Stadt",98308.0,2241.0,22.8
13005,"Stralsund, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13006,"Wismar, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13051,"Bad Doberan, Landkreis (bis 03.09.2011)",0.0,,
13052,"Demmin, Landkreis (bis 03.09.2011)",0.0,,
13053,"Güstrow, Landkreis (bis 03.09.2011)",0.0,,
13054,"Ludwigslust, Landkreis (bis 03.09.2011)",0.0,,
13055,"Mecklenburg-Strelitz, Landkreis (bis 03.09.2011)",0.0,,
13056,"Müritz, Landkreis (bis 03.09.2011)",0.0,,
13057,"Nordvorpommern, Landkreis (bis 03.09.2011)",0.0,,
13058,"Nordwestmecklenburg, Landkreis (bis 03.09.2011)",0.0,,
13059,"Ostvorpommern, Landkreis (bis 03.09.2011)",0.0,,
13060,"Parchim, Landkreis (bis 03.09.2011)",0.0,,
13061,"Rügen, Landkreis (bis 03.09.2011)",0.0,,
13062,"Uecker-Randow, Landkreis (bis 03.09.2011)",0.0,,
13071,"Mecklenburgische Seenplatte, Landkreis",246318.0,4526.0,18.37
13072,"Rostock, Landkreis",218721.0,3508.0,16.04
13073,"Vorpommern-Rügen, Landkreis",215203.0,3382.0,15.72
13074,"Nordwestmecklenburg, Landkreis",156692.0,2216.0,14.14
13075,"Vorpommern-Greifswald, Landkreis",224956.0,3936.0,17.5
13076,"Ludwigslust-Parchim, Landkreis",208092.0,3107.0,14.93
14161,"Chemnitz, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14166,"Plauen, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14167,"Zwickau, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14171,"Annaberg, Landkreis (bis 31.07.2008)",0.0,,
14173,"Chemnitzer Land, Landkreis (bis 31.07.2008)",0.0,,
14177,"Freiberg, Landkreis (bis 31.07.2008)",0.0,,
14178,Vogtlandkreis (bis 31.07.2008),0.0,,
14181,Mittlerer Erzgebirgskreis (bis 31.07.2008),0.0,,
14182,"Mittweida, Landkreis (bis 31.07.2008)",0.0,,
14188,"Stollberg, Landkreis (bis 31.07.2008)",0.0,,
14191,"Aue-Schwarzenberg, Landkreis (bis 31.07.2008)",0.0,,
14193,"Zwickauer Land, Landkreis (bis 31.07.2008)",0.0,,
14262,"Dresden, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14263,"Görlitz, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14264,"Hoyerswerda, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14272,"Bautzen, Landkreis (bis 31.07.2008)",0.0,,
14280,"Meißen, Landkreis (bis 31.07.2008)",0.0,,
14284,Niederschlesischer Oberlausitzkreis (b.31.07.2008),0.0,,
14285,"Riesa-Großenhain, Landkreis (bis 31.07.2008)",0.0,,
14286,"Löbau-Zittau, Landkreis (bis 31.07.2008)",0.0,,
14287,"Sächsische Schweiz, Landkreis (bis 31.07.2008)",0.0,,
14290,Weißeritzkreis (bis 31.07.2008),0.0,,
14292,"Kamenz, Landkreis (bis 31.07.2008)",0.0,,
14365,"Leipzig, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14374,"Delitzsch, Landkreis (bis 31.07.2008)",0.0,,
14375,"Döbeln, Landkreis (bis 31.07.2008)",0.0,,
14379,"Leipziger Land, Landkreis (bis 31.07.2008)",0.0,,
14383,Muldentalkreis (bis 31.07.2008),0.0,,
14389,"Torgau-Oschatz, Landkreis (bis 31.07.2008)",0.0,,
14511,"Chemnitz, kreisfreie Stadt",245618.0,4223.0,17.19
14521,Erzgebirgskreis,318394.0,6268.0,19.69
14522,"Mittelsachsen, Landkreis",296431.0,5392.0,18.19
14523,Vogtlandkreis,219100.0,3855.0,17.59
14524,"Zwickau, Landkreis",306793.0,5903.0,19.24
14612,"Dresden, kreisfreie Stadt",564904.0,6993.0,12.38
14625,"Bautzen, Landkreis",292608.0,4688.0,16.02
14626,"Görlitz, Landkreis",243958.0,4588.0,18.81
14627,"Meißen, Landkreis",239221.0,3664.0,15.32
14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",243996.0,3985.0,16.33
14713,"Leipzig, kreisfreie Stadt",611850.0,7780.0,12.72
14729,"Leipzig, Landkreis",260127.0,3574.0,13.74
14730,"Nordsachsen, Landkreis",199422.0,2872.0,14.4
15001,"Dessau-Roßlau, kreisfreie Stadt",75402.0,1705.0,22.61
15002,"Halle (Saale), kreisfreie Stadt",226767.0,3189.0,14.06
15003,"Magdeburg, kreisfreie Stadt",244329.0,4345.0,17.78
